Date,Date_format,Rol,Area,Sensor,Downloaded,Backup stage,Notes,plan,stage,shared_Mrgt/involved,Julia,GCP,GS_grande,L1,temp_download,check,extract?,,nu7
170405,05/04/2017,frz,ser,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170405ser,1,,
170405,05/04/2017,nut,521&230,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170405521&230,,,
170406,06/04/2017,nut,521&230,sequoia,1,dropbox/AE,,,ndvi,,,1,,,,q170406521&230,,,
170411,11/04/2017,bw_,810,FLIR,1,,out of focus,,tif,-,,,,,,q170411810,,,
170411,11/04/2017,frz,esc,FLIR,1,,,,celsius mosaic,-,,1,,,,q170411esc,1,,
170411,11/04/2017,bw_,810,HYPEr,1,,,,rfl_spr_ort,0,,,,"SOME DRIp PLOTS NOT COVERED, drip not adjusted nor october area, nor 2 IR",,q170411810,,,
170411,11/04/2017,frz,esc,HYPEr,1,,,,rfl_spr_ort_geo,-,,1,,,,q170411esc,1,,
170411,11/04/2017,sed,sed,miniMCA,1,,,,mosaico,-,,1,,,,q170411sed,,,
170411,11/04/2017,sed,sed,FLIR,1,,"out of focus, 20cm",,tif,-,,,,,,q170411sed,,,
170411,11/04/2017,bw_,hea,miniMCA,1,,,,ndvi,0,,1,,,,q170411hea,,,
170411,11/04/2017,bw_,hea,FLIR,1,,"out of focus, 20cm",,tif,0,,,,,,q170411hea,,,
170418,18/04/2017,frz,esc,FLIR,1,,,,celsius mosaic,,,1,,,,q170418esc,1,,
170418,18/04/2017,frz,ros,FLIR,1,,,,celsius mosaic,,,1,,,,q170418ros,1,,
170418,18/04/2017,frz,ser,FLIR,1,,,,celsius mosaic,,,1,,,,q170418ser,1,,
170418,18/04/2017,sed,sed,FLIR,1,,,,celsius mosaic,,,1,,,,q170418sed,,,
170418,18/04/2017,frz,esc,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170418esc,1,,
170418,18/04/2017,frz,ros,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170418ros,1,,
170418,18/04/2017,frz,ser,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170418ser,1,,
170426,26/04/2017,sed,sed,FLIR,1,,,,celsius mosaic,,,1,,,,q170426sed,,,
170426,26/04/2017,sed,sed,miniMCA,1,,,,mosaico,,,1,,,,q170426sed,,,
170426,26/04/2017,bw_,sed,FLIR,1,,también bw heat salió en la foto,,pno…,,,,,,,q170426sed,,,
170502,02/05/2017,bw_,hea,FLIR,1,,,,cel,,,,,ok,,q170502hea,,,
170502,02/05/2017,bw_,hea,HYPEr,1,,,,rfl_spr_ort,,,,,ok,,q170502hea,,,
170511,11/05/2017,sed,sed,FLIR,,,,,celsius mosaic,,,1,,,,q170511sed,,,
170511,11/05/2017,sed,sed,miniMCA,1,,,,mosaico,,,1,,,,q170511sed,,,
170511,11/05/2017,bw_,hea,FLIR,,,,,cel,,,,,ok,,q170511hea,,,
170511,11/05/2017,bw_,hea,HYPEr,,,,,capture error,,,,,issues,,q170511hea,,,
170512,12/05/2017,bw_,sed,RGB,1,auto (DS),,,mosaico,,,1,,,,q170512sed,,,
170512,12/05/2017,bw_,hea,RGB,1,auto (DS),,,mosaico,,,1,,,,q170512hea,,,
170522,22/05/2017,bw_,hea,FLIR,1,auto (DS),,,cel,,,,,ok,,q170522hea,,,
170522,22/05/2017,bw_,hea,HYPEr,1,auto (DS),"cirrus, Jaz 80 81 82 83",,rfl_spr_ort,,,,,issues,,q170522hea,,,
170531,31/05/2017,bw_,hea,FLIR,,,,,cel,,,,,ok,,q170531hea,,,
170531,31/05/2017,bw_,hea,HYPEr,1,,very windy,,rfl_spr_ort,,,,,issues,,q170531hea,,,
170531,31/05/2017,sed,sed,FLIR,1,,"clear sky, windy",,celsius mosaic,,,1,,,,q170531sed,,,
170531,31/05/2017,sed,sed,miniMCA,1,,"very windy, weeds all around",,mosaico,,,1,,,,q170531sed,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
